SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
0,2024-03-09T10:57:49,0.008966666666666668,0.5,20.000000005065885,20.000000005065885,20.000000005065885,0,19.999680236057078,20.000015889418837,19.99995810997101,8.36578356855294e-05
100,2024-03-09T11:02:27,0.06953333333333332,0.5,19.964824637287165,20.003478430405362,19.98533609650429,0.012900402103695799,19.938986899562153,24.082363410909778,21.654551050773705,1.3834371045971054
600,2024-03-09T11:07:27,67.0096,0.5,7.42382324472419,472.04443302226946,343.2274724085848,137.7717584361555,472.13529609070065,478.1210212109472,473.396168368048,1.121755021659815
650,2024-03-09T12:37:32,23.014400000000002,0.5,471.83589966909494,511.8801360401891,500.85947016099954,9.315567188323774,511.9253436259493,515.426303218979,513.8591009480057,0.8965425908778567
700,2024-03-09T13:22:32,23.177,0.5,513.7457491814275,554.0265644931785,544.1127058642562,9.482247375697112,554.0713993964687,557.9781231811985,556.5534975101203,0.9503331471218427
750,2024-03-09T14:07:32,20.290333333333333,0.5,555.9094539904618,598.8792413592786,587.3931787127029,10.585399164330862,598.9141826447172,601.7609981809981,600.8546991705399,0.81006295209978
800,2024-03-09T14:42:32,16.5508,0.5,599.7930908957496,642.23792778578,630.471758769652,11.537694169781764,642.2679248898091,647.1409507258612,645.1017308014681,1.4539527634459397
850,2024-03-09T15:12:32,16.772000000000002,0.5,642.7385403185035,690.6599102317309,678.1672253808414,12.252352541958391,690.6899410585658,693.6343900351281,692.6045479359744,0.8618707097152254
900,2024-03-09T15:42:32,15.4456,0.5,691.8084896651562,737.9045566811305,727.1205664660633,11.512944177094996,737.9343980543159,740.9726512362524,739.9120596590675,0.8555005206316745
950,2024-03-09T16:12:32,15.736166666666666,0.5,739.7254011696205,788.7817327709059,777.5188942571739,11.699320355725485,788.8116573606039,791.5319832358755,790.3019394006038,0.7409209870244867
1000,2024-03-09T16:42:32,13.233833333333333,0.5,788.3795345601393,836.9870874014978,826.21111527637,11.605206518257072,837.0115484442316,840.0040605700096,838.3600021097473,0.8796999829249039
1050,2024-03-09T17:07:02,12.708333333333334,0.5,839.1687789077405,888.949131342458,878.5207417163704,11.525244889895527,887.8602129671816,889.4939605039713,888.7449403994032,0.556566636423174
1100,2024-03-09T17:32:32,11.661399999999999,0.5,889.0035421219654,943.3798147082869,932.1542938988965,12.5523837999865,943.3998378189892,944.2870484596037,943.9108883597013,0.20316417192471567
1150,2024-03-09T17:52:32,10.166,0.5,943.1231495063403,992.4600566315914,983.154248109208,11.71957722086722,992.4800634153064,993.532030970687,993.0608031473705,0.23440667029186502
1200,2024-03-09T18:12:32,9.264533333333333,0.5,990.9290271336213,1041.5146269721977,1031.7013651040636,12.56950379984418,1041.253563947732,1042.5957234017587,1042.3474068422825,0.3019641655560247
1250,2024-03-09T18:32:32,7.872133333333333,0.5,1038.2391262669116,1090.9018923843819,1078.9273676507548,13.412756470534688,1089.9313324045543,1090.9906740125646,1090.5119869234725,0.4049966238938931
1300,2024-03-09T18:42:37,7.2346,0.5,1086.3078510576743,1146.1260194362299,1133.902200379822,14.266432319700844,1145.961689652512,1146.5923757468595,1146.1487780501318,0.13340874653829407
1350,2024-03-09T18:52:37,6.624333333333333,0.5,1142.6349111268646,1199.0232379066567,1187.42003409592,13.606105497631964,1197.758240369291,1199.135228331825,1198.4670436877298,0.5164453884605417
1400,2024-03-09T19:02:37,6.277866666666667,0.5,1195.3169391960837,1250.9978593515466,1240.233313505201,13.38178128625681,1250.8889673780675,1251.1890526732482,1251.0395916773728,0.10322019160305303
1450,2024-03-09T19:12:37,3.693833333333333,0.5,1247.5428325348767,1299.2819102690924,1286.8232661436105,14.170653522301652,1299.291742673236,1301.0420030167177,1300.3207758881747,0.6148609947856384
1500,2024-03-09T19:22:37,5.470866666666667,0.5,1296.1893266704865,1351.0870902441923,1342.0781672065189,12.766072396882679,1350.8917357626801,1352.1504391549465,1351.324806825796,0.4015438217836195
1100,2024-03-09T19:32:37,242.20533333333333,0.5,44.18971360227533,1152.0240404098295,240.03836782885085,256.86257813746613,27.07213078599125,44.05736848900142,34.1300010775617,5.5343532175821855
0,2024-01-02T11:11:47,0.6174999999999999,0.5,18.99999999979431,19.00000000021646,18.999999999966178,1.2017446895698288e-10,18.999999923476558,18.99999999978948,18.999999983035604,2.0441789202559533e-08
100,2024-01-02T11:17:16,0.009966666666666667,0.5,19.016971665050733,19.016971665050733,19.016971665050733,0,18.938987286540222,20.158001611095713,19.236977704280623,0.40294368863475083
600,2024-01-02T11:22:16,68.87616666666666,0.5,14.503312338866953,481.11879114435214,345.8094564776034,154.20998452075054,470.3613948594284,495.677779927355,477.46009610086594,5.416079993896951
700,2024-01-02T12:52:16,23.378333333333334,0.5,470.5389031555387,548.8116337308751,527.4709823452399,21.45672731414372,548.9012786267318,558.528552637601,555.9366841294363,2.3668907040273828
750,2024-01-02T14:22:16,13.128666666666668,0.5,555.6098342873738,595.8186989984446,583.4725719888708,11.459840533027974,595.853860505642,601.7745434876297,598.9787708607762,1.4303366506937545
800,2024-01-02T14:57:16,14.272066666666666,0.5,596.6724070331547,641.2405112185762,628.6717396542017,12.37927888988398,641.270478064377,645.6562793628832,643.779727480472,1.0850418382066065
850,2024-01-02T15:27:16,17.330366666666666,0.5,640.4073432267178,691.3538951868193,679.92322544779,11.585994769698685,691.3837713124746,694.1639821097983,692.8898699086565,0.7994261405726562
